component	version	artifact	origin	license	sha256	lifecycle	scope
zulu-openjdk	7.56.0.11-ca / OpenJDK 1.7.0_352-b01	zulu7.56.0.11-ca-jdk7.0.352-linux_x64.tar.gz	https://cdn.azul.com/zulu/bin/zulu7.56.0.11-ca-jdk7.0.352-linux_x64.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	8a7387c1ed151474301b6553c6046f865dc6c1e1890bcf106acc2780c55727c8	EOL	portable-ci
h2	1.4.200	h2-1.4.200.jar	https://repo.maven.apache.org/maven2/com/h2database/h2/1.4.200/h2-1.4.200.jar	MPL-2.0 OR EPL-1.0	3ad9ac4b6aae9cd9d3ac1c447465e1ed06019b851b893dd6a8d76ddb6d85bca6	EOL	portable-ci
