component	version	archive	origin	license	sha256	published-checksum	lifecycle	scope
temurin-openjdk	8u492-b09	OpenJDK8U-jdk_x64_linux_hotspot_8u492b09.tar.gz	https://github.com/adoptium/temurin8-binaries/releases/download/jdk8u492-b09/OpenJDK8U-jdk_x64_linux_hotspot_8u492b09.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	da257f161d7f8c6ca5b0e5d9e4090f65ac28c5e398072e68b8ae87988b1d1a2e	sha256:da257f161d7f8c6ca5b0e5d9e4090f65ac28c5e398072e68b8ae87988b1d1a2e	maintained-by-Eclipse-Temurin	CP-2B
wildfly-community	26.1.3.Final	wildfly-26.1.3.Final.tar.gz	https://github.com/wildfly/wildfly/releases/download/26.1.3.Final/wildfly-26.1.3.Final.tar.gz	LGPL-2.1-or-later	aadd317c62616f6b5735ae92151d06c1f03c46eba448958d982c61f02528ae59	sha1:b9f52ba41df890e09bb141d72947d2510caf758c	EOL-bridge-runtime	CP-2B-and-CP-3A-to-CP-3D
