component	version	usage	artifact	sha256	origin	license	provenance
oracle-jdk	1.7.0_80	oracle-qualified	jdk-7u80-linux-x64.tar.gz	bad9a731639655118740bee119139c1ed019737ec802a630dd7ad7aab4309623	https://download.oracle.com/otn/java/jdk/7u80-b15/jdk-7u80-linux-x64.tar.gz	Oracle-BCLA-Java-SE	runtime/legacy/runtime-manifest.tsv
apache-maven	3.8.9	build	apache-maven-3.8.9-bin.tar.gz	3e4c68cdd70f96635e713f36c8fc3ea3182035245d3da2156576710ca0fe4b0c	https://archive.apache.org/dist/maven/maven-3/3.8.9/binaries/apache-maven-3.8.9-bin.tar.gz	Apache-2.0	runtime/legacy/runtime-manifest.tsv
wildfly	9.0.2.Final	container	wildfly-9.0.2.Final.tar.gz	74689569d6e04402abb7d94921c558940725d8065dce21a2d7194fa354249bb6	https://download.jboss.org/wildfly/9.0.2.Final/wildfly-9.0.2.Final.tar.gz	LGPL-2.1-only	runtime/legacy/runtime-manifest.tsv
zulu-openjdk	7.56.0.11-ca / OpenJDK 1.7.0_352-b01	portable-ci	zulu7.56.0.11-ca-jdk7.0.352-linux_x64.tar.gz	8a7387c1ed151474301b6553c6046f865dc6c1e1890bcf106acc2780c55727c8	https://cdn.azul.com/zulu/bin/zulu7.56.0.11-ca-jdk7.0.352-linux_x64.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	runtime/legacy/portable-runtime-manifest.tsv
h2	1.4.200	portable-ci	h2-1.4.200.jar	3ad9ac4b6aae9cd9d3ac1c447465e1ed06019b851b893dd6a8d76ddb6d85bca6	https://repo.maven.apache.org/maven2/com/h2database/h2/1.4.200/h2-1.4.200.jar	MPL-2.0 OR EPL-1.0	runtime/legacy/portable-runtime-manifest.tsv
ojdbc7	12.1.0.2.0	oracle-qualified	ojdbc7.jar	0d34cddb5726232ad4c0e5db731e930c9c75d8f74b9c4aa449799cc43dd3e829	https://www.oracle.com/database/technologies/application-development-java-dev-tools.html	Oracle-OTN-proprietary	manifesto e checksum do JAR fornecido externamente
oracle-database	19.3.0.0.0	oracle-qualified	external-instance	-	rede-interna-autorizada	Oracle-proprietary	versão observada e schema descartável aprovado pelo DBA
