component	version	archive	origin	license	sha256	published-checksum	lifecycle	scope
temurin-openjdk	17.0.20+8	OpenJDK17U-jdk_x64_linux_hotspot_17.0.20_8.tar.gz	https://github.com/adoptium/temurin17-binaries/releases/download/jdk-17.0.20%2B8/OpenJDK17U-jdk_x64_linux_hotspot_17.0.20_8.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	be7668bc030d578b83d6d5ef9221d6d6729bbbca8cf94a7d52e16ac68b5a5a35	sha256:be7668bc030d578b83d6d5ef9221d6d6729bbbca8cf94a7d52e16ac68b5a5a35	maintained-by-Eclipse-Temurin	CP-3A-to-CP-3D
wildfly-community	26.1.3.Final	wildfly-26.1.3.Final.tar.gz	https://github.com/wildfly/wildfly/releases/download/26.1.3.Final/wildfly-26.1.3.Final.tar.gz	LGPL-2.1-or-later	aadd317c62616f6b5735ae92151d06c1f03c46eba448958d982c61f02528ae59	sha1:b9f52ba41df890e09bb141d72947d2510caf758c	EOL-bridge-runtime	CP-3A-to-CP-3D
apache-maven	3.9.16	apache-maven-3.9.16-bin.tar.gz	https://downloads.apache.org/maven/maven-3/3.9.16/binaries/apache-maven-3.9.16-bin.tar.gz	Apache-2.0	80ffca22aed9e8b9713a232f3394fd81d7f20322df75efdb2b047dbd3e3a23bb	sha512:831a8591fe20c8243b1dbe7d71e3244f31d1665b0804b2e825e38cbbe5ce0cafb8338851f90780735568773e0a6cd07bbec107cda0b896b008b861075358b6f6	maintained-current-stable	CP-3A-and-later
h2	2.4.240	h2-2.4.240.jar	https://repo.maven.apache.org/maven2/com/h2database/h2/2.4.240/h2-2.4.240.jar	MPL-2.0 OR EPL-1.0	29b70e427cc1c40cdc376283adbb0cc62853073797bb5fe5761f81fe73d57ce0	computed-from-fixed-origin	maintained-latest-release	CP-3A-portable-ci
ojdbc17	23.26.2.0.0	ojdbc17.jar	https://repo.maven.apache.org/maven2/com/oracle/database/jdbc/ojdbc17/23.26.2.0.0/ojdbc17-23.26.2.0.0.jar	Oracle Free Use Terms and Conditions (FUTC)	96010f27fce64c285f9d1aab8f96357b8e00c49c9ad041ecf140c9d7d27eb3fb	sha256:96010f27fce64c285f9d1aab8f96357b8e00c49c9ad041ecf140c9d7d27eb3fb	maintained-JDK17-Oracle19c	CP-3C-to-CP-3K
