component	version	archive	origin	license	sha256	published-checksum	lifecycle	scope
temurin-openjdk	21.0.12+8	OpenJDK21U-jdk_x64_linux_hotspot_21.0.12_8.tar.gz	https://github.com/adoptium/temurin21-binaries/releases/download/jdk-21.0.12%2B8/OpenJDK21U-jdk_x64_linux_hotspot_21.0.12_8.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	e4446ff06a276155697597cc0f1b15da004ff083f4964a35271ecee567177370	sha256:e4446ff06a276155697597cc0f1b15da004ff083f4964a35271ecee567177370	maintained-by-Eclipse-Temurin	CP-3E-to-CP-3I
wildfly-community-41	41.0.0.Final	wildfly-41.0.0.Final.tar.gz	https://github.com/wildfly/wildfly/releases/download/41.0.0.Final/wildfly-41.0.0.Final.tar.gz	LGPL-2.1-or-later	d240795958e7d99b638cd4c3e0f9ba4b7d4c53b4f7996dfec1008250c4d48191	sha1:c5d2a5327b5628d6ee75b246784994988a0a7c7f	community-release	CP-3E-to-CP-3K
h2	2.4.240	h2-2.4.240.jar	https://repo.maven.apache.org/maven2/com/h2database/h2/2.4.240/h2-2.4.240.jar	MPL-2.0 OR EPL-1.0	29b70e427cc1c40cdc376283adbb0cc62853073797bb5fe5761f81fe73d57ce0	computed-from-fixed-origin	maintained-latest-release	CP-3E-portable-ci
ojdbc17	23.26.2.0.0	ojdbc17.jar	https://repo.maven.apache.org/maven2/com/oracle/database/jdbc/ojdbc17/23.26.2.0.0/ojdbc17-23.26.2.0.0.jar	Oracle Free Use Terms and Conditions (FUTC)	96010f27fce64c285f9d1aab8f96357b8e00c49c9ad041ecf140c9d7d27eb3fb	sha256:96010f27fce64c285f9d1aab8f96357b8e00c49c9ad041ecf140c9d7d27eb3fb	maintained-Java17+-Oracle19c	CP-3H-to-CP-3K
