component	version	archive	origin	license	sha256	published-checksum	lifecycle	scope
temurin-openjdk	25.0.4+7	OpenJDK25U-jdk_x64_linux_hotspot_25.0.4_7.tar.gz	https://github.com/adoptium/temurin25-binaries/releases/download/jdk-25.0.4%2B7/OpenJDK25U-jdk_x64_linux_hotspot_25.0.4_7.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	e58fcdcd637b25c03ca84cbbcefc70d11efb8f4b4cbd05decc9f661769d77f94	sha256:e58fcdcd637b25c03ca84cbbcefc70d11efb8f4b4cbd05decc9f661769d77f94	maintained-by-Eclipse-Temurin	CP-3J
wildfly-community-41	41.0.0.Final	wildfly-41.0.0.Final.tar.gz	https://github.com/wildfly/wildfly/releases/download/41.0.0.Final/wildfly-41.0.0.Final.tar.gz	LGPL-2.1-or-later	d240795958e7d99b638cd4c3e0f9ba4b7d4c53b4f7996dfec1008250c4d48191	sha1:c5d2a5327b5628d6ee75b246784994988a0a7c7f	community-release	CP-3J
h2	2.4.240	h2-2.4.240.jar	https://repo.maven.apache.org/maven2/com/h2database/h2/2.4.240/h2-2.4.240.jar	MPL-2.0 OR EPL-1.0	29b70e427cc1c40cdc376283adbb0cc62853073797bb5fe5761f81fe73d57ce0	computed-from-fixed-origin	maintained-latest-release	CP-3J-portable-ci
ojdbc17	23.26.2.0.0	ojdbc17.jar	https://repo.maven.apache.org/maven2/com/oracle/database/jdbc/ojdbc17/23.26.2.0.0/ojdbc17-23.26.2.0.0.jar	Oracle Free Use Terms and Conditions (FUTC)	96010f27fce64c285f9d1aab8f96357b8e00c49c9ad041ecf140c9d7d27eb3fb	sha256:96010f27fce64c285f9d1aab8f96357b8e00c49c9ad041ecf140c9d7d27eb3fb	maintained-Java17+-Oracle19c	CP-3J
