component	version	usage	artifact	sha256	origin	license	lifecycle	provenance
apache-maven	3.9.16	build	apache-maven-3.9.16-bin.tar.gz	80ffca22aed9e8b9713a232f3394fd81d7f20322df75efdb2b047dbd3e3a23bb	https://downloads.apache.org/maven/maven-3/3.9.16/binaries/apache-maven-3.9.16-bin.tar.gz	Apache-2.0	maintained-current-stable	runtime/phase2/java8-wildfly26/runtime-manifest.tsv
h2	1.4.200	portable-ci	h2-1.4.200.jar	3ad9ac4b6aae9cd9d3ac1c447465e1ed06019b851b893dd6a8d76ddb6d85bca6	https://repo.maven.apache.org/maven2/com/h2database/h2/1.4.200/h2-1.4.200.jar	MPL-2.0 OR EPL-1.0	EOL-test-only	runtime/legacy/portable-runtime-manifest.tsv
ojdbc7	12.1.0.2.0	oracle-qualified	ojdbc7.jar	0d34cddb5726232ad4c0e5db731e930c9c75d8f74b9c4aa449799cc43dd3e829	https://www.oracle.com/database/technologies/application-development-java-dev-tools.html	Oracle-OTN-proprietary	legacy-external-driver-deferred-CP-3C	configuration-external-and-migration/evidence/CP-2D/oracle-state.json
oracle-database	19.3.0.0.0	oracle-qualified	external-instance	-	rede-interna-autorizada	Oracle-proprietary	external-supported-database	migration/evidence/CP-2D/oracle-state.json
temurin-openjdk	8u492-b09	application-runtime	OpenJDK8U-jdk_x64_linux_hotspot_8u492b09.tar.gz	da257f161d7f8c6ca5b0e5d9e4090f65ac28c5e398072e68b8ae87988b1d1a2e	https://github.com/adoptium/temurin8-binaries/releases/download/jdk8u492-b09/OpenJDK8U-jdk_x64_linux_hotspot_8u492b09.tar.gz	GPL-2.0-only WITH Classpath-exception-2.0	maintained-by-Eclipse-Temurin	runtime/phase2/java8-wildfly26/runtime-manifest.tsv
wildfly-community	26.1.3.Final	container	wildfly-26.1.3.Final.tar.gz	aadd317c62616f6b5735ae92151d06c1f03c46eba448958d982c61f02528ae59	https://github.com/wildfly/wildfly/releases/download/26.1.3.Final/wildfly-26.1.3.Final.tar.gz	LGPL-2.1-or-later	EOL-bridge-runtime	runtime/phase2/java8-wildfly26/runtime-manifest.tsv
